Jak nazywa się pierwsza litera alfabetu greckiego?	alfa
Jak nazywa się dowolny odcinek łączący dwa punkty okręgu?	cięciwa
W którym państwie rozpoczyna się akcja powieści „W pustyni i w puszczy”?	w Egipcie
Czy w państwach starożytnych powoływani byli posłowie i poselstwa?	tak
W jakim zespole występowała Hanka w filmie „Żona dla Australijczyka”?	Mazowsze
W którym państwie leży Bombaj?	w Indiach
Który numer boczny nosi czołg Rudy z „Czterech pancernych”?	102
Co budował w Egipcie inżynier Tarkowski, ojciec Stasia?	Kanał Sueski
Czy owoce niektórych kaktusów są jadalne?	tak
Kwartet – to ilu wykonawców?	czterech	czworo	4
Którzy rzemieślnicy występują w ostatniej powieści Witkacego?	szewcy
Jak nazywa się pierwiastek o symbolu Bq?	becquerel
Hymnem którego kraju jest pieśń „Gwiaździsty sztandar”?	Stanów Zjednoczonych	USA
Jak nazywał się sztywny kapelusz męski o zaokrąglonej główce i wąskim lekko uniesionym rondelku, modny w drugiej połowie XIX wieku?	melonik
Jak nazywa się wypukła albo wklęsła powierzchnia cieczy w pobliżu ścianek naczynia?	menisk
Jak nazywał się fizyk, który w 1876 r. wynalazł telefon?	Aleksander Graham Bell
Jak brzmi ulubione powiedzonko klucznika Horeszków Gerwazego?	mopanku
Którego gazu jest najwięcej w powietrzu?	azotu
Czy szalej jadowity występuje w Polsce?	tak
Według przysłowia nos jest dla tabakiery czy tabakiera dla nosa?	tabakiera dla nosa
Punkt przecięcia osi w układzie współrzędnych to punkt zero czy linia odcięcia?	punkt zero
Kto jest autorem obrazu namalowanego w 1892 r. „Kobiety z Tahiti”?	Paul Gauguin
Jak ma na imię brat Fidela Castro, który przejął po nim władzę?	Raul
Co znaczy pochodzące z francuskiego słowo aliant?	sojusznik
Który zwrotnik przecina Meksyk – Raka czy Koziorożca?	Raka
Jak nazywa się wzgórze w Paryżu na którym wybudowano bazylikę Sacré-Cœur?	Montmartre
Jak z greckiego nazywa się założenie wymagające sprawdzenia?	hipoteza
Co znaczą słowa „Quo vadis”?	dokąd idziesz
Który szesnastowieczny legendarny czarnoksiężnik zwany był polskim Faustem?	Pan Twardowski
Jak nazywa się trucizna przyrządzona z korzenia szaleju?	cykuta
Jak nazywa się stolica Kuby?	Hawana
Jak nazywa się agent brytyjskiego wywiadu, bohater powieści Iana Fleminga?	James Bond
W jakim stylu wykonany został nagrobek Kazimierza Jagiellończyka?	gotyckim
W którym wieku powstał na Widawie most św. Karola?	w XIV	14
W którym mieście zginęła w wypadku samochodowym księżna Diana?	w Paryżu
Czy filatelistyka obejmuje także zbieranie kart i stempli pocztowych?	tak
Kto grał postać Maliniaka w „Czterdziestolatku”?	Roman Kłosowski
Na którym kontynencie występuje ryś iberyjski?	w Europie
Kto gra Kingę Zduńską w serialu „M jak miłość”?	Katarzyna Cichopek
W których górach leżą wrota Chałubińskiego?	w Tatrach
Które wrota znajdują się w tytule filmu Romana Polańskiego?	dziewiąte
Na której japońskiej wyspie znajduje się port Yokohama?	na Honsiu
Proszę rozwinąć skrót powstałego w 1918 roku urzędu GUS.	Główny Urząd Statystyczny
Do którego państwa należą wyspy Rodos i Korfu?	do Grecji
Czy Stanisław Barańczak tłumaczył dzieła Szekspira?	tak
Jak nazywa się przyrząd do palenia i górny kieł dzika?	fajka
W którym filmie Krzysztofa Kieślowskiego zagrali Olaf Lubaszenko i Grażyna Szapołowska?	„Krótki film o miłości”
Dokończ przysłowie: „dobry zwyczaj: nie...”?	pożyczaj
Ile trzeba zjeść z kimś soli, żeby dobrze go poznać?	beczkę
Które polskie miasto nie od razu zbudowano?	Kraków
Gdzie miały miejsce objawienia z 1917 roku?	w Fatimie
W zdaniu: „Szybko przeskoczył przez płot” który wyraz jest przysłówkiem?	szybko
Czy bioskop to urządzenie medyczne?	nie
Nad którą rzeką leżą miasta Grodno i Kowno?	nad Niemnem	Niemen
Jak nazywa się potomek osadników portugalskich bądź hiszpańskich w Ameryce Południowej?	Kreol
Tzw. suchy lód to stała postać którego związku chemicznego?	dwutlenku węgla	CO2
Co z greckiego oznacza ochlokracja?	rządy tłumu
W którym mieście rozgrywa się akcja powieści „Książę i żebrak” Marka Twaina?	w Londynie
Uczniem którego greckiego filozofa był Arystyp z Cyreny, twórca hedonizmu?	Sokratesa
Czy Anna Jagiellonka – księżna pomorska i Anna Jagiellonka – królowa Polski to ta sama osoba?	nie
Jaki kształt ma wimpel, bandera statków handlowych?	trójkątny
Czy w Bałtyku występują makrele?	tak
W którym roku podczas II wojny światowej włoski rząd wypowiedział wojnę Hitlerowi?	w 1943
Ile stopni wynosi suma kątów wewnętrznych czworokąta?	360
Jaka nierozstrzygnięta bitwa została opisana w książce „Wojna i pokój”?	bitwa pod Borodino
W którym mieście Australii znajduje się słynna opera?	w Sydney
Które państwo podarowało USA Statuę Wolności?	Francja
W której dziedzinie odnosiła sukcesy Steffi Graff?	w tenisie	w tenisie ziemnym
Jak nazywała się mistrzyni Polski w narciarstwie alpejskim, zamordowana przez hitlerowców w 1941 za udział w ruchu oporu?	Helena Marusarzówna
Baron to tytuł wyższy czy niższy niż hrabia?	niższy
Który święty, rybak z Betsaidy, jest patronem rybaków?	Piotr
Na którym kontynencie leży Gabon?	w Afryce
W którym wieku żył Dżyngis-chan?	w XIII	13
Z której dynastii pochodził król, który przeniósł stolicę Polski z Krakowa do Warszawy?	Wazów
Z którego kontynentu pochodzi drzewo liczi?	z Azji
W którym państwie leży Klondike, obszar znany z wydobycia złota?	w Kanadzie
Jak nazywał się grecki bóg, który nosił kaduceusz?	Hermes
Jak nazywa się tradycyjna żydowska czapka?	jarmułka	kipa	sztrajmł	sztrajmel	sztrejmł
Kto w Polsce powołuje pierwszego prezesa Sądu Najwyższego?	prezydent
Gdzie w październiku 1813 roku stoczono bitwę przegraną przez Napoleona?	pod Lipskiem
W którym państwie najwyższym odznaczeniem jest krzyż Wiktorii?	w Wielkiej Brytanii
Która operetka Johanna Straussa ma w swoim tytule latającego ssaka?	Zemsta nietoperza
Nad którą rzeką leży Kazimierz Dolny?	nad Wisłą
Jak nazywa się najwyższy szczyt Beskidu Sądeckiego?	Radziejowa
Ktoś „nie w ciemię bity” to ktoś sprytny czy naiwny?	sprytny
Jak nazywał się przodownik chóru w starożytnym teatrze greckim?	koryfeusz
Jak nazywa się jednostka w lotnictwie licząca 2–3 eskadry?	dywizjon	pułk lotniczy
W którym roku założono NATO?	w 1949
Co produkowała wytwórnia astronoma Jana Heweliusza?	piwo
W którym dniu tygodnia Robinson Crusoe spotkał Piętaszka?	w piątek
Jak nazywa się obchodzone 31 października święto w krajach anglosaskich?	Halloween
W którym wieku Dunlop wynalazł gumową oponę?	w XIX	19
Co wykluwa się z żabiego skrzeku?	kijanki
Mistrzostwa świata w której dyscyplinie bronił w 2013 roku Sergio Martinez?	w boksie
Kardynał Richelieu był sekretarzem którego francuskiego króla?	Ludwika XIII
Z jakiego materiału wykonana jest rzeźba Augusta Rodina „Myśliciel”?	z brązu
Jak nazywa się polski okręt bojowy, którym brał udział w II wojnie światowej, a od 40 lat znajduje się w Gdyni?	Błyskawica
„Biega, krzyczy pan Hilary” – kto jest autorem tych słów?	Julian Tuwim
Kto był odkrywcą wodospadów Wiktorii?	David Livingstone
W którym miesiącu przypada wspomnienie tzw. zimnych ogrodników?	w maju
Jak nazywa się elektroda połączona z ujemnym biegunem źródła prądu?	katoda
Czy traszka grzebieniasta występuje w Polsce w naturalnym środowisku?	tak
„Coś Ty Atenom zrobił, Sokratesie” – czyjego autorstwa jest to utwór?	Norwida
Który władca doprowadził do rozbicia dzielnicowego Polski?	Bolesław Krzywousty
Jak nazywa się wieś, w której Adam Mickiewicz osadził akcję „Pana Tadeusza”?	Soplicowo
Z mleka którego zwierzęcia wyrabiana jest serwatka zwana żętycą?	owcy
Jaki tytuł arystokratyczny nosił Zygmunt Krasiński?	hrabia
Czy sombrero to kapelusz, danie czy taniec?	kapelusz
Kto w mitologii greckiej był bogiem świata zmarłych?	Hades
Jak nazywa się prezydent Ukrainy?	Wołodymyr Zełenski
W którym państwie w latach 50-tych XX wieku wydana została pierwsza karta kredytowa?	w Stanach Zjednoczonych	w USA
Jak miał na imię rycerz Okrągłego Stołu pałający uczuciem do królowej Ginewry, żony króla Artura?	Lancelot
W którym polskim kabarecie pojawiały się postaci pana Czesia, Tureckiego?	w Kabarecie Olgi Lipińskiej
Do kogo skierowane były w „Panu Tadeuszu” słowa: „niewdzięczny”?	do Tadeusza
Wyspy Zielonego Przylądka leżą bliżej Afryki czy Azji?	Kto śpiewa piosenkę z czołówki M jak miłość?
Kto zagrał tytułową rolę w Pułkowniku Kwiatkowskim?	Marek Kondrat
Na którym oceanie występują w strefie równikowej prąd morski Cromwella?	na Oceanie Spokojnym	na Pacyfiku
Jak nazywał się okręt podwodny kapitana Nemo?	Nautilus
„Wiatr od wschodu” to część której książki Stefana Żeromskiego?	„Przedwiośnia”
Jak nazywa się polski malarz XIX-wieczny, autor cyklu rysunków „Polonia”?	Artur Grottger
Z którego państwa pochodzi twórca Gadu-Gadu?	z Polski
Z którego wieku pochodzą Drzwi Gnieźnieńskie?	z XII	12
Jak z łaciny nazywa się zmętnienie soczewki oka?	katarakta
Kto był następcą Michała Korybuta Wiśniowieckiego?	Jan III Sobieski
Jak nazywa się szczególny sąd, przed którym odpowiadają premier, prezydent i ministrowie?	Trybunał Stanu
Co z łaciny znaczy zwrot „manu propria”?	własnoręcznie
Jak nazywa się mityczne zwierzę z jednym rogiem, symbol szczęścia i niewinności?	jednorożec
Mecenasem którego wielkiego kompozytora był król bawarski Ludwik II?	Ryszarda Wagnera
Jaki przydomek nosił włoski malarz Bernardo Belotto?	Canaletto
Jak nazywał się zespół, w którym występował Marek Grechuta?	Anawa
Na których wyspach według Jana Brzechwy widziano osła, którego mrówka niosła?	na Bergamutach
Kto za pomocą doświadczenia z wahadłem wykazał istnienie ruchu obrotowego Ziemi?	Jean Foucault
Na granicy jakiego państwa i Egiptu znajduje się miasto Abu Simbel ze świątynią Ramzesa II?	Sudan
Czy Napoleon III był cesarzem?	tak
Posąg której bogini był największą rzeźbą Fidiasza poza Zeusem?	Ateny Partenos
Czy badanie na obecność alkoholu we krwi może zostać przeprowadzone bez zgody badanego?	tak
Ile skrzydeł mają pchły?	nie mają skrzydeł	zero	0
W którym wieku powstała pierwsza fabryka płyt gramofonowych?	w XIX	19
Jaki żółty kwiat symbolizuje obchody rocznicy powstania w getcie warszawskim?	żonkil
Który apostoł wątpił w zmartwychwstanie?	Tomasz
Skąd pochodził Judasz?	z Kariotu
O co był oskarżony bohater filmu „Poszukiwany, poszukiwana”?	o kradzież obrazu
Jak nazywał się pierwszy dzień każdego miesiąca w kalendarzu rzymskim?	kalendy
W którym roku podpisano skierowany do premiera PRL tzw. List 34?	w 1964
Jak nazywa się wyobrażenie martwego Jezusa spoczywającego na kolanach Maryi?	pieta
Jak nazywał się reżyser filmu „Obywatel Kane”?	Orson Welles
Jakiego obrazu dotyczy akcja filmu Vinci?	„Dama z łasiczką”
Marmury Elgina to świątynia w Atenach czy zbiór starożytnych rzeźb greckich?	zbiór starożytnych rzeźb greckich
W której europejskiej stolicy znajduje się muzeum Edwarda Muncha?	w Oslo
Kto w 1517 r. zapoczątkował w Kościele reformację?	Marcin Luter
Które zwierzę jest symbolem hossy na giełdzie?	byk
Czy w hokeju na lodzie występuje spalony?	nie
Jak nazywa się drewniana nadbudówka na dziobie bądź rufie dawnych żaglowców?	kasztel
Z którego wieku pochodzi kierunek w meblarstwie zwany biedermeier?	z XIX	19
Jak nazywał się twórca Polskiej Akcji Humanitarnej?	Janina Ochojska
Kto powołuje prezesa NIK?	Sejm
W którym państwie w 1958 r. rozpoczęła się kampania polityczna nazwana Wielkim Skokiem?	w Chinach
Który polski król pokonał Turków pod Wiedniem?	Jan III Sobieski
W jakim miejscu pracuje mincerz?	w mennicy
Jaki jest skrót nazwy Stowarzyszenia Architektów Polskich?	SARP
Jak nazywa się aktor, który dwukrotnie wcielił się w postać barbarzyńcy Conana?	Arnold Schwarzenegger
Która zupa jest symbolem rzeczy bardzo taniej?	barszcz
W którym polskim mieście znajduje się największy w Europie zespół zamkowy?	w Malborku
Iluzgłoskowcem napisany jest „Pan Tadeusz”?	trzynastozgłoskowcem	13
W jakiej dziedzinie otrzymał Nagrodę Nobla Aleksander Sołżenicyn?	literatury
Które ryby ma we łbie osoba niepoważna, niezrównoważona?	kiełbie
Na jakie zwierzęta jest obława w tytule piosenki Jacka Kaczmarskiego?	młode wilki
Z którego kosmodromu startował Jurij Gagarin?	z Bajkonuru
Czy w Polsce mamy aktywny wulkan?	nie
Na ogonie którego ptaka Hera umieściła oczy olbrzyma Argosa?	pawia
Czy Herod I Wielki był królem Judei?	tak
Jak nazywa się osada w której mieszkali Lasse, Bosse, Anna i Olaf w książce Astrid Lindgren?	Bullerbyn
W którym europejskim mieście znajduje się uniwersytet o nazwie Sorbona?	w Paryżu
Z których drzew znany jest Rogalin koło Poznania?	z dębów
Co brzmi w trzcinie w bajce Jana Brzechwy?	chrząszcz
Jak ma na imię polski astronauta, generał Hermaszewski?	Mirosław
Czy na każdym trójkącie można opisać okrąg?	tak
Jak nazywa się wirus wywołujący chorobę Heine-Medina?	polio
Czy europoseł może być jednocześnie posłem w parlamencie polskim?	nie
Jaki stopień wojskowy miał Henryk Dobrzański, ps. Hubal?	majora
Sublimat to chlorek którego metalu?	rtęci
Jak potocznie nazywamy ostatnie tylne zęby?	zęby mądrości
Jak nazywa się najwyższy masyw górski Sudetów?	Karkonosze
Jak nazywają się nieprzemakalne spodnie wędkarzy sięgające ud?	wodery
W którym starożytnym mieście budowano wieżę Babel?	w Babilonie
Które dzieło Trylogii Hoffmann zekranizował jako pierwsze?	Pan Wołodyjowski
Który organ w Polsce wybiera członków Trybunału Stanu?	Sejm
Jaką nazwę pochodzącą od imienia założyciela nosi Zakon Braci Mniejszych?	franciszkanie
Który król zastał Polskę drewnianą, a zostawił murowaną?	Kazimierz Wielki
Jakie stanowisko pełnił Otto von Bismarck?	kanclerz
Jak nazywa się litera alfabetu Morse'a oznaczana jako trzy kreski?	litera O
Służący rycerza przygotowujący się do stanu rycerskiego to...?	giermek
Czy w Polsce uprawia się len?	tak
Jakiej narodowości jest Paulo Coelho?	jest Brazylijczykiem
Jak nazywał się węgierski architekt, wynalazca kostki do układania?	Rubik
Czy w Chinach żyją krokodyle?	tak
Pod jaką postacią Zeus uwiódł Danae uwięzioną w wieży?	złotego deszczu
Czy Helena współzawodniczyła z Ateną i Afrodytą w konkursie piękności?	nie
W którym państwie leży Brno?	w Czechach
W którym roku powstała pieśń „Czerwone maki na Monte Cassino”?	w 1944
Jak nazywa się dowództwo marynarki wojennej w Wielkiej Brytanii?	Admiralicja
Jak nazywa się wędzony ser owczy produkowany w Tatrach?	oscypek
Jak nazywa się postawa zwątpienia, utrata wiary w powodzenie sprawy?	defetyzm
Który król wydał statuty wiślicko-piotrkowskie?	Kazimierz Wielki
Ile strun liczy gitara rosyjska?	siedem	7
Morze Karaibskie jest częścią którego oceanu?	Oceanu Atlantyckiego	Atlantyku
Na którym kontynencie żyją Irokezi?	w Ameryce Północnej
Od którego wieku istnieje Katolicki Uniwersytet Lubelski?	od XX
Z którego państwa pochodzi Stieg Larsson, autor trylogii kryminalnej „Millennium”?	ze Szwecji
Która oponiarska firma w wydawanym przewodniku promuje najlepsze restauracje?	Michelin
Na którym kontynencie rządził Mobutu Sese Seko?	w Afryce
Czy Wieprz i Wieprza to ta sama rzeka?	nie
Co według przysłowia służy za przewodnika?	koniec języka
Czy utwór „Mikołaja Doświadczyńskiego przypadki” Ignacego Krasickiego napisany jest wierszem czy prozą?	prozą
Jak u polskich górali nazywa się starszy pasterz, któremu podlegają juhasi?	baca
Wapno palone to związek chemiczny czy pierwiastek?	związek chemiczny
Przy ujściu jakiej rzeki leży port Hawr?	Sekwany
W którym powstaniu miały miejsce bitwy pod Iganiami i pod Wawrem?	w listopadowym
Czy przez Wilno przepływa Niemen?	nie
W którym roku po raz pierwszy audycja radiowa rozpoczęła się od odegrania hejnału z wieży Mariackiej?	1927
Czy zorza polarna występuje na obu biegunach?	tak
Którą chorobę nazywano dawniej suchotami?	gruźlicę
W którym państwie powstał taoizm?	w Chinach
W której bitwie zginął Ulrich von Jungingen?	pod Grunwaldem
Jak nazywa się drapieżnik z rodziny psowatych o dużych uszach żyjący na Saharze?	fenek
Jak potocznie nazywamy halę widowiskowo-sportową w Katowicach?	Spodek
Założona w 1921 roku organizacja TMJP to towarzystwo miłośników którego języka?	polskiego
Jak nazywał się egipski bóg z głową szakala?	Anubis
Który lud budował zigguraty?	Sumerowie
