"akropolis" | ['„wesele”']
"kamienie na szaniec" | ['„panny z wilka”']
"nad niemnem" | ['„nocy i dni”']
"santa lucia" | ['barkarola']
"wesele" | ['w „weselu”']
+1 | ['dodatni']
1 | ['1 marca']
10 | ['jedenaście', '11']
14 | ['14 października']
1822-1884 | ['w xix', '19']
1867 | ['w xix', '19']
1901 | ['w xix', '19']
1945 | ['w xx', '20']
211969 | ['lądowania na księżycu']
3 | ['dwóch', '2']
3 | ['jeden', '1']
3 | ['jedna', '1']
3 | ['kaszkę']
3 | ['z dwóch', '2']
37 | ['w xix', '19']
4 | ['trzy', '3']
40 | ['w xiv', '14']
5 | ['10']
50 | ['20 km/h']
6 | ['jedna', '1']
7 | ['dwie', '2']
744 | ['w viii', '8']
8 | ['na 24']
8 | ['ośmioro']
adam mickiewicz | ['jan zamoyski']
afryka południowa | ['w afryce']
afryka północna | ['z afryki']
agnieszka chylińska | ['marek niedźwiecki']
alegoria stożka | ['parabola']
aleksander iii | ['piotra wielkiego']
alfabet cyrylicy | ['grażdanka']
alfabet grecki | ['greckiego']
alpha | ['alfa']
altówkę należy opierać o ramię | ['o ramię']
amedeo modigliani | ['amedeo']
ameryka północna ma więcej ludności | ['północna']
andorze | ['w watykanie']
andrzej kmicic i olenka billewiczówna | ['billewiczówna i kmicic', 'kmicic i billewiczówna']
anglia | ['z wielkiej brytanii']
ani mru mru | ['elita']
aplikacja prawnicza | ['aplikacja']
aplikacja prawnicza | ['aplikacja']
astronomia powierzchni księżyca | ['selenografia']
ateny | ['w atenach']
autodromo di monza | ['monza']
azja i afryka | ['z afryki']
babcia i babka | ['babka']
balet klasyczny | ['balet']
ballada o zegarze | ['„romantyczność”']
bambus osiąga większą wysokość | ['bambus']
berlin | ['w warszawie']
bermudy należą do wielkiej brytanii | ['do wielkiej brytanii']
biały łabędź | ['łabędzia']
biegun południowy | ['południowy']
bombaj, indie | ['w bombaju']
bronza | ['z brązu']
błękit i biel | ['biały i niebieski', 'niebieski i biały']
cebulki dymki | ['szczypior']
celina szymanowska | ['maryla wereszczakówna']
celuloza acetylowa | ['celuloid']
ceremonia zaślubin gajusza i gaji | ['przy zawieraniu małżeństwa', 'przy zaślubinach']
chameleony, anole i skinki | ['kameleony']
charles perrault | ['jean de la fontaine']
chatka baby jagi była wykonana z kości słoniowej | ['z piernika']
chlorek sodu lub chlorek potasu | ['rtęci']
clark gable zagrał postać rhetta butlera w filmie „przeminęło z wiatrem” | ['rhett butler']
clark gable, claudette colbert, walter connolly i roscoe karns | ['szczepko i tońko', 'szczepcio i tońcio']
claus von stauffenberg | ['stauffenberg']
czarnogłówki to rasa szczurów | ['owiec']
część iii | ['w iii', '3']
dbanie o zdrowie zwierząt | ['przed obżarstwem']
división azul | ['błękitna dywizja']
do ustępstw | ['w kaszę']
dobrem wzajemnym | ['pięknym']
dowództwo morskie królowej | ['admiralicja']
duda | ['trombita', 'trembita', 'ligawka huculska']
duma państwowa składa się z dwóch izb | ['z dwóch', '2']
dwie wieże | ['dwie', '2']
dwoje do poprawki | ['dziewiąte']
dysk waży 2 kg | ['2 kg']
dzielny żołnierzyk z ołowiu wyróżniał się odwagą i lojalnością wobec swojego króla | ['nie miał nogi']
dziękuję po francusku to "merci" | ['we francuskim']
edyta bartosiewicz | ['krystyna janda']
efez, azja mniejsza | ['z efezu']
elektroda ujemna | ['katoda']
estragon to roślina zielna | ['roślina zielna']
etikieta | ['savoir-vivre']
exilium | ['internowanie']
fatum | ['kismet']
figury szachowe | ['z szachów']
flądra ma dwa pary oczu | ['jedną', '1']
fobia | ['panika']
foki żyją w morzach, oceanach i jeziorach | ['także w jeziorach']
forma podstawowa | ['równy', 'stopień równy']
franciszek | ['w wacławie']
fyodor dostoyevsky | ['kazimierz moczarski']
galilea | ['z kariotu']
generalne gubernatorstwo | ['kraj warty']
genewa, szwajcaria | ['w genewie']
gnejs | ['z granitu']
gone with the wind | ['„przeminęło z wiatrem”']
gra nazywa się "wybieranie patyczków" | ['bierki']
granada | ['w grenadzie']
gregor samsa zmienia się w ogromnego robaka | ['w robaka']
grosz | ['tynf']
guillotine | ['gilotyna']
głoskę | ['daszek']
halina kowalska | ['irena kwiatkowska']
halszka | ['lidka']
hans christian andersen tworzył w wieku od 1805 do 1875 roku | ['w xix', '19']
hans von aachen | ['hans memling']
henryk sienkiewicz | ['wincenty kadłubek']
hiszpania | ['w polsce']
hiszpański i nahuatl | ['hiszpański']
hydroliza | ['gaszenie']
höflichkeit | ['kindersztuba']
ichnologia bada ślady pozostawione przez zwierzęta | ['skamieniałe ślady zwierząt']
idea igrzysk olimpijskich wywodzi się z starożytnej grecji | ['ze starożytnej grecji']
improwizacja | ['a vista']
instrument muzyczny | ['roślina']
insurekcja to powstanie lub bunt wojskowy | ['powstanie']
isaac i jacob | ['izaak']
islam jest najmłodszą wielką religią monoteistyczną | ['islam']
ivan shishkin i ivan aivazovsky | ['józef chełmoński']
iwana groźnego | ['iwan iv groźny']
jaglana, kuskus i pęczak to rodzaje zbóż | ['kaszy']
jan henryk dąbrowski | ['kościuszko']
jan iii sobieski | ['jan sobieski']
jan matejko | ['józef mehoffer']
jan peszek | ['piotr fronczewski']
jan steen | ['vincent van gogh']
janusz gajos | ['eugeniusz bodo']
janusz gajos | ['marek kondrat']
janusz gajos odgrywał rolę porucznika borewicza | ['janka kosa']
jasny | ['niebieskie']
jezioro głębokie | ['gopła']
jezioro wiktorii | ['tanganika']
joanna kulig | ['leonard pietraszak']
jodła | ['świerk']
joseph haydn | ['haydn']
julian tuwim i jan brzechwa | ['julian tuwim']
józef piłsudski | ['horacy']
kaczka dziwaczka zmieniła się w piękną kaczkę | ['w zająca']
kair | ['w kairze']
kanada | ['w kanadzie']
kanadyjka | ['kanu', 'canoe']
kania pragnie miodu | ['dżdżu']
kasandra | ['pytia']
katon starszy był zagorzałym wrogiem kartaginy | ['kartaginy']
kazimierz jagiellończyk | ['zygmunt iii waza']
kenia | ['z danii']
kiszki grają, gdy są głodne | ['marsza']
kocioł i szczypce | ['fajka']
kodeks cywilny | ['centralna magistrala kolejowa']
konfederacja barska | ['monachomachia']
konferencja w poczdamie odbyła się wcześniej | ['w jałcie']
kongres wiedeński w 1815 roku | ['wiedeńskim', 'na kongresie wiedeńskim', 'w wiedniu']
konrad | ['dla syna']
konrad wallenrod | ['cat']
korea południowa, japonia, rosja | ['korea']
kozacy lisowskiego | ['lisowczycy', 'lisowczyki', 'straceńcy', 'chorągiew elearska']
koziołek matołek zmierzał do warszawy | ['do pacanowa']
koń | ['byk']
krowy | ['owcy']
książę babiloński nabuchodonozor | ['starcy']
kłapouchy zgubił swój ogon | ['ogon']
kły i siekacze | ['siekacze']
lata 20. xx wieku | ['w xx', '20']
legia warszawa | ['tęcza']
leipzig, niemcy | ['w lipsku']
lekkoatletyka | ['skok wzwyż']
lesie borsuk | ['w stumilowym']
lewym brzegu wisły | ['na prawym']
lipiec | ['w maju']
list przyjazdowy | ['glejt', 'list żelazny']
los angeles, kalifornia | ['w los angeles']
lwów | ['we lwowie']
ma we łbie ryby | ['kiełbie']
madej był kowalem | ['był zbójem']
marcus tullius cicero | ['cyceron']
marian | ['kornel']
maryla | ['joanna']
marzec | ['w marcu']
masa atomowa | ['liczby atomowej']
matzevah | ['macewa']
małe karty | ['blotka']
małgorzata foremniak | ['anna dymna']
mecz hokeja na lodzie liczy 3 części | ['trzy', '3']
meduza i kraken | ['meduza']
melpomena | ['polihymnia']
michał anioł buonarroti | ['buonarotti']
miedź | ['ze srebra']
mieszkańcy anglii | ['króla', 'monarchy', 'króla jana bez ziemi']
mimo teatr | ['pantomima']
międzynarodowe stowarzyszenie pisarzy | ['pen club']
monety pojawiły się wcześniej niż banknoty | ['monety']
montezuma ii | ['montezuma']
na polu | ['w szczebrzeszynie']
nad rzeką bzurą | ['nad bzurą']
nadzorcza, pedagogiczna lub zakładowa | ['rada']
narządy wewnętrzne | ['serce']
neapol, włochy | ['w neapolu']
nie | ['diabeł']
nie | ['pałaca']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['w niemczech']
nie | ['z niemiec']
nil | ['po nilu']
nil jest najdłuższą rzeką egiptu | ['egiptu']
nil uchodzi do morza czerwonego | ['do morza śródziemnego']
obozy pracy w związku radzieckim | ['gułagi', 'łagry']
obraz odpowiedział | ['do niego ani razu']
odpowiedzialność za własne błędy | ['na złodzieju']
oedipus | ['edypowi']
oliwa | ['w oliwie']
ordonnance | ['ordynans']
organizacja pozarządowa | ['pozarządowa']
osoba wyrażająca się kolokwialnie używa języka potocznego | ['potocznego']
ostrosłup trójkątny | ['prawidłowy', 'foremny']
pan kowalski | ['hilary']
pani dulska miała na imię honorata | ['aniela']
pasowanie | ['pas']
pałac letni | ['zakazane miasto']
petroniusz | ['neron']
pierwszy rozbiór polski | ['pierwszy', '1']
piłka ręczna | ['ręczną']
podział jądra bez zmiany liczby chromosomów | ['mitoza']
pokój toruński | ['wojna trzynastoletnia']
polska | ['na ukrainie']
polska | ['w polsce']
polski | ['po angielsku']
polski | ['we francuskim', 'po francusku']
pomocnicza odpowiedź: chińczycy dopłynęli do wybrze | ['wikingowie']
pomocnicza odpowiedź: helska mierzeja znajdu | ['helska']
pomocnicza odpowiedź: litera alfabetu morse'a oznaczana jako trzy kreski to litera "t" | ['litera o']
portugalia | ['w fatimie']
porwacz | ['kidnaper']
postulat niezmienności liczb kwantowych | ['zakaz pauliego']
powstanie listopadowe | ['w powstaniu kościuszkowskim']
południowo-wschodnia polska | ['śląska']
programme | ['repertuar']
przełęcz krzyżne | ['orla perć']
psy | ['psów']
pustymi rękami | ['kwitkiem']
regata d'italia | ['regaty']
region śląski | ['ze śląska']
rektor lub prorektor uczelni akademickiej | ['rektorowi uczelni wyższej', 'rektorowi uniwersytetu']
rose | ['beata']
