!kung | ['pigmeje']
100 | ['dwieście dwanaście', '212']
1000 m | ['400 metrów', '400 m']
1500 | ['pięćset', '500']
180 | ['trzysta sześćdziesiąt', '360']
1865 | ['w xix', '19']
2 | ['jeden', '1']
29,5 m | ['8,90 m']
3 | ['dwa', '2']
4 | ['1 kg', 'kilogram']
75 | ['osiemdziesiąta', '80']
9 | ['dwadzieścia siedem', '27']
? -> mianownik | ['miejscownik']
? -> nie | ['nie']
? -> w anglii | ['w anglii']
? -> w mekce | ['w mekce', 'mekka']
? -> z afryki | ['z afryki']
abeille d’or | ['pszczoły merowingów']
abu zabi | ['kuwejt']
achillesa | ['hektora']
adam adalbert von neumayer | ['paweł edmund strzelecki', 'strzelecki']
adam harasiewicz | ['krystian zimerman']
adam kazimierz czartoryski | ['stefan batory', 'batory']
adam michnik | ['nikt']
adam mickiewicz | ['ajschylos']
adam mickiewicz | ['magdalena samozwaniec']
adam mickiewicz | ['mikołaj rej', 'rej']
adam mickiewicz | ['żaden']
adam walentynowicz | ['piotr czajkowski']
adolf hitler | ['otto von bismarck']
afrodyta | ['psyche']
akim akimiec | ['chlestakow']
aktorem | ['protagonista']
aleksander łukasiewicz | ['hanna gronkiewicz-waltz']
allel | ['gen']
ameryka | ['amerykę północną', 'amerykę płn.']
ameryka północna | ['afryka']
ameryka północna | ['australia']
amerykanina | ['białych turystów', 'cudzoziemców', 'białych']
analogiczne | ['aktualizm']
andrzej wajda | ['marek markiewicz']
andrzej wajda | ['steven spielberg']
anna | ['elżbieta']
anna maria jopek | ['beata kozidrak']
antoine-laurent de lavoisier | ['antoine lavoisier']
antyfona | ['antonim']
antymasy | ['nadir']
antypody | ['„sonda”']
antyteza | ['oksymoron']
apis | ['skarabeusza']
apolla | ['discovery']
apollo | ['helios']
apollon | ['eskulap']
apostołem | ['lekarzem']
areszt | ['tymczasowe aresztowanie']
aresztowanie | ['ekstradycja']
armada | ['wielka armada']
armijnów | ['ormiańskiej', 'ormianin']
artemis | ['hera']
aten | ['rzymu']
