"aurora" | ['z „aurory”']
"czterej pancerni i pies" | ['„07 zgłoś się”']
"gorzka miłość" | ['„niewolnica isaura”']
"jeden za wszystkich | ['jeden za wszystkich, wszyscy za jednego']
"kobieta samotna" | ['„moralność pani dulskiej”']
"król lear" | ['„dziady”']
"kto zgadnie | ['„wielka gra”']
"lalka" | ['„emancypantki”']
"lament podolskiego" | ['pieśń o spustoszeniu podola przez tatarów']
"lord of the flies" | ['„władca much”']
"ludzie bezdomni" | ['„popioły”']
"ludzie bezdomni" | ['„syzyfowe prace”']
"ludzie bezdomni" | ['„wierna rzeka”']
"ogniem i mieczem" | ['w „quo vadis”']
"omega" | ['mazurek']
"philadelphia" | ['„forrest gump”']
"pictures at an exhibition" | ['„obrazki z wystawy”']
"the merry widow" (wesoła wdowa) | ['„wesoła wdówka”']
"wesele" stanisława wyspiańskiego | ['z „warszawianki”']
"witness to power: the nixon years" | ['„waszyngton za zamkniętymi drzwiami”']
"z radością witam wszystkich polaków" | ['„żeby polska była polską”']
- | ['auguste renoir', 'renoir']
- | ['austro-węgry']
- | ['beta-karoten']
- | ['beżowy']
- | ['bór-komorowski']
- | ['generał franciszek kleeberg', 'kleeberg']
- | ['halina czerny-stefańska']
- | ['kankan']
- | ['kogel-mogel']
- | ['krystyna chojnowska-liskiewicz']
- | ['lany poniedziałek']
- | ['renata mauer-różańska', 'mauer']
- | ['sam autor', 'antoine de saint-exupéry']
- | ['tobogan']
- | ['w auschwitz']
- | ['w krynicy-zdroju']
- | ['w saint tropez']
- | ['w województwie kujawsko-pomorskim', 'w kujawsko-pomorskim']
- | ['wielkie uderzenie', 'mocne uderzenie']
- | ['żeńcy']
-2 | ['mig-17']
0 | ['zero']
1 | ['książę wellington', 'arthur wellesley']
1 | ['milion', '1000000']
1 | ['łunochod']
10 | ['jedna dziesiąta', '10.01.2021', '0,1']
100 | ['dwieście dwanaście', '212']
100 | ['michael h. hart', 'hart']
100 | ['pięćset', '500']
100 | ['ten, który trwa 100 minut', '100 minut', '1']
10000 | ['większa']
1096 | ['w xi', '11']
1099 | ['w xi', '11']
11 | ['jeden', '1']
111977 | ['„ben-hur”']
112001 | ['11 września 2001', '11.09.2001']
116 | ['nigdy', 'wcale', 'zero', '0']
12 | ['dwadzieścia cztery', '24']
1209 | ['w xiii', '13']
1226 | ['w xiii', '13']
123 | ['dwóch lat', '2 lata']
1390 | ['w xv', '15']
141 | ['czarna procesja']
150 | ['w dziewięćdziesiąt', '90']
150 | ['w xix', '19']
1573 | ['w xiv', '14']
16 | ['w xix', '19']
16 | ['w xx', '20']
1674 | ['w xvi', '16']
1683 | ['w xvii', '17']
1778 | ['w xviii', '18']
1783 | ['w xviii', '18']
1791 | ['konstytucja 3 maja']
1795 | ['w xii', '12']
1798 | ['w xviii', '18']
1825 | ['w grudniu']
182830 | ['był premierem', 'premiera']
1861 | ['w xix', '19']
1864 | ['w xix', '19']
1865 | ['w xix', '19']
1889 | ['od 1890']
1898 | ['w xix', '19']
1908 | ['w xx', '20']
1915 | ['w 1916']
1920 | ['w 1660']
1928 | ['w 1929']
1928 | ['w xx', '20']
1941 | ['w 1943']
1952 | ['w 1970']
1955 | ['w 1901']
1970- | ['siedemdziesiątych']
1981 | ['ronald reagan']
1981 | ['w 1982']
1989 | ['w 1959']
1990 | ['do 1991']
1991 | ['w xx', '20']
1993 | ['w 1991']
1993 | ['w xxi', '21']
1994 | ['„familiadę”']
2 | ['1 kg', 'kilogram']
2 | ['cricot 2']
2 | ['dwadzieścia', '20']
2 | ['nie ma rąk', 'nic']
2 | ['o']
20 | ['dziesięć', '10']
20 | ['warszawski indeks giełdowy', 'wig']
2002 | ['„ogniem i mieczem”']
2015 | ['w xxi', '21']
21 | ['21 lat']
24 | ['w xvi', '16']
24-28 | ['w pierwszym', 'w i']
26 | ['w xix', '19']
26 | ['z dwudziestu trzech', '23']
28 | ['w xviii', '18']
29301934 | ['noc długich noży']
3 | ['dwa', '2']
3 | ['pięć', '5']
3 | ['w około trzy sekundy', 'w 3 sekundy', '3 s']
3 | ['z dwóch', 'z dwu', '2']
3 | ['z dwóch', 'z dwu', '2']
3 | ['z dwóch', 'z dwu', '2']
30 | ['w xv', '15']
320 | ['z trzech', '3']
325 | ['w iv']
4 | ['jeden', '1']
4 | ['jeden raz', 'raz', '1']
4 | ['żadnego']
4 | ['„ranczo”']
40 | ['40 km/h']
41 | ['w xvi', '16']
42 | ['w xv', '15']
47 | ['w xix', '19']
48 | ['dwie', '2']
5 | ['cztery', '4']
5 | ['dwie', '2']
5 | ['około tysiąca', 'tysiąc']
5 | ['sześć', '6']
5 | ['trzydzieści pięć', '35']
50 | ['50 hz', '50 herców']
50 | ['dwa', '2']
50 | ['stany']
500 | ['w xvi', '16']
51 | ['w xvii', '17']
52 | ['w xvi', '16']
59 | ['w xviii', '18']
6 | ['6 stycznia']
6 | ['pięć', '5']
6 | ['przed trzynastą', '13']
6 | ['trzy', '3']
62 | ['w iv p.n.e.']
64 | ['trzydzieści dwa', '32']
7 | ['jeden', '1']
7 | ['piętnaście', '15']
7 | ['w xix', '19']
72 | ['w xix', '19']
7368 | ['w xiv', '14']
77 | ['w xvi', '16']
79 | ['w i', '1']
79 | ['w xix', '19']
8 | ['discovery']
8 | ['dziesięć', '10']
80 | ['w xx', '20']
80 | ['więcej niż 80 lat', 'więcej']
82 | ['sześćdziesiąt dwa', '62']
820 | ['8 minut i 20 sekund', '8 minut']
83 | ['w xix', '19']
890 | ['8,90 m']
9 | ['nigdy', 'wcale', 'zero', '0']
9-11 | ['trzydzieści', '30']
90 | ['w v p.n.e.']
[imię i nazwisko] jest szefem wydziału [nazwa wydziału] | ['dziekan']
a | ['trójkąt']
aby wygrać szlema w brydżu | ['wszystkie', 'trzynaście', '13']
adam michnik | ['nikt']
adam mickiewicz | ['mikołaj rej', 'rej']
afganistan | ['na terenie pakistanu']
afrodyta | ['psyche']
afryka ma większą powierzchnię | ['afryka']
afryka wschodnia | ['z afryki']
ajschylos i eshil | ['ajschylos']
akcja „krzyżaków” toczy się w xv wieku | ['w xv', '15']
akredytacja | ['nostryfikacja']
aktor | ['protagonista']
al capone działał w chicago w stanie illinois | ['w chicago']
alaska | ['hawaje']
aleksander fredro | ['molier', 'jean baptiste poquelin']
aleksander sołżenicyn | ['doktor żywago']
alfa | ['alfa, beta, gamma']
alfabet cyrylica powstał wcześniej | ['grażdanka']
alkaloid atropina | ['atropina']
alpha ursae minoris | ['gwiazda polarna']
aluminium | ['glinu']
amazonka | ['do atlantyku', 'do atlantyckiego']
amazonki okaleczały swoje ramiona | ['odcinały prawą pierś']
ameryka północna | ['w azji', 'azja']
amfibia | ['jaszcz']
amper (a) | ['amper']
andantino jest wolniejsze od andante | ['szybsze']
andrzej bobola | ['babinicz']
andrzej bursa | ['leopold tyrmand']
andrzej sapkowski | ['melchior wańkowicz']
andrzej wajda zadebiutował w kinie wcześniej | ['andrzej wajda', 'wajda']
ania dąbrowska | ['anita lipnicka']
anion posiada przewagę elektronów | ['elektronów']
anna maria | ['ewa']
anolis | ['kameleon']
anonimowy arabski autor | ['szeherezada']
antarktyda | ['australia']
anton antonowicz chlestakow | ['chlestakow']
antonio vivaldi | ['vivaldi']
antropologia | ['etnografia']
antytetyka | ['oksymoron']
aparat słuchowy | ['trąbka eustachiusza']
archanioł | ['serafin']
argentyna i holandia | ['holandia']
armada króla filipa ii | ['wielka armada']
armia krajowa | ['organizacji harcerzy zhp', 'związku harcerstwa polskiego', 'harcerzy']
arystokratyczne rządy autorytarne | ['oligarchia']
assam | ['indii']
atena | ['parys']
atena urodziła się w zbroi | ['w zbroję']
ateny | ['w atenach']
atlantycki ocean jest większy | ['ocean atlantycki', 'atlantyk']
atramentem | ['płynnym złotem']
augustus waters | ['gladiatorzy']
auksyny to hormony wzrostowe roślin | ['roślin']
austria | ['z polski']
autobus zasilany siecią | ['trolejbus']
babia góra | ['turbacz']
babilończycy i sumerowie posługiwali się pismem klinowym | ['klinowym']
badanie odcisków palców | ['daktyloskopia']
baht tajski | ['baht']
baktrian ma dwa garby | ['dwa', '2']
baktrian ma więcej garbów | ['baktrian']
bakłażan nazywany jest również bakłażanem | ['oberżyna']
bakšiš | ['bakszysz']
balzac był francuzem | ['był francuzem', 'francuskiej']
bambus jest drzewem | ['trawą']
barometr | ['barograf']
basia trzetrzelewska | ['beata kozidrak']
bałwan i morska breja | ['bałwan']
benjamin | ['józef']
berezyna | ['przez berezynę']
beskid wyspowy | ['w tatrach', 'tatry']
beskid żywiecki | ['w tatrach', 'tatry']
beveridge'a | ['kuroniówka']
biały | ['zielony']
biblioteka narodowa w warszawie | ['biblioteka narodowa']
bibuła | ['krepina']
biedny jak mysz kością rzucona | ['kościelna']
bismillah | ['„sezamie, otwórz się”']
bitwa pod gorzowem | ['pod legnicą']
bitwy nad marną miały miejsce podczas i i ii wojny światowej | ['podczas i wojny światowej', '1']
bitwę pod trafalgarem wygrała brytyjska flota pod dowództwem admirała horatio nelsona | ['brytyjczycy', 'anglicy']
bob vila | ['adam słodowy']
bobry | ['dziki']
bociany są ptakami mięsożernymi | ['mięsożernymi']
bois de boulogne | ['lasek buloński']
bolesław bierut | ['edward gierek']
bolesław prus | ['józef kraszewski']
bonapartowie | ['burboni']
brat jana kochanowskiego | ['bratem']
braveheart | ['serce']
brazylia | ['przez peru', 'peru']
bronisław piłsudski był bratem józefa piłsudskiego | ['bratem']
brooklyn | ['bronx']
broń palna | ['siecznej']
brytyjski arystokrata | ['uwodziciela']
burbonowie | ['z burbonów']
bzura | ['nad pilicą']
bzura | ['nad wisłą']
canossa we włoszech | ['w kanossie']
car aleksander ii zniósł poddaństwo chłopów w rosji | ['aleksander ii romanow']
car puszka w kremlu | ['na kremlu']
carrom | ['w dominie', 'domino']
cała nuta składa się z czterech szesnastek | ['z szesnastu', '16']
centralna ewidencja pojazdów dotyczy właścicieli pojazdów | ['kierowców']
cera | ['w wosku']
chaika | ['czajki']
chester wiliam nimitz był głównodowodzącym sił morskich stanów zjednoczonych podczas ii wojny światowej | ['dowódca floty stanów zjednoczonych na pacyfiku', 'dowódca floty usa']
cholera jest chorobą bakteryjną | ['bakteryjna']
choroba hemofilii | ['hemofilia']
choroba nowotworowa | ['suchoty', 'gruźlica']
christiaan barnard dokonał pierwszej na świecie udanej przeszczepu serca | ['transplantacji serca', 'przeszczepu serca']
cielę ssie obie matki | ['pokorne']
cieśnina bosfor | ['bosfor']
cieśnina świna | ['świna']
ciśnienie atmosferyczne | ['ciśnienie']
cmentarz powązkowski i cmentarz rakowicki | ['na cmentarzu łyczakowskim', 'na łyczakowskim']
colorado potato beetle | ['stonka ziemniaczana']
cyceron twierdził | ['jego drugą naturą', 'drugą naturą człowieka']
cylinder | ['szapoklak']
cynk | ['złoto']
cyprian norwid | ['żaden']
cyrenejczyk i łazarz | ['szymon cyrenejczyk', 'szymon z cyreny']
czarny staw | ['morskie oko']
czechy | ['w czechach']
czechy | ['w czechach']
czerwiec | ['w lipcu']
czubatka to polska rasa kur | ['polska rasa kur', 'kur']
część iii | ['w trzeciej', '3']
część iii | ['z drugiej', '2']
dalekowidz nosi soczewki skupiające | ['skupiające']
dayton | ['w dęblinie']
degradacja tworzyw | ['korozja']
delfiny używają ultradźwięków | ['ultradźwięków']
djellaba | ['burnus']
do niewoli japończyków | ['do japońskiej']
doba na marsie trwa krócej | ['dłużej', 'dłużej niż ziemska']
donald tusk | ['jacek kuroń']
dotyczące ruchu przyspieszonego | ['twierdzenie geometryczne']
drobiu | ['z wieprzowiny']
drugi dzień lutego | ['trzydziesty drugi', '32']
drużyna i kwiczoł | ['batalion']
drzewie | ['na wierzbie']
duszpasterz wojskowy | ['kapelan']
dwadzieścia części (pieśni | ['z dwudziestu czterech', '24']
dwie osoby | ['dwóch', '2']
dwudziestościan foremny ma więcej wierzchołków | ['dwunastościan']
dwóch papieży nosiło oba imiona jan i paweł | ['dwóch', '2']
dynastia burbonów | ['z burbonów']
dynastia glücksburg | ['glücksburgowie', 'schleswig-holstein-sonderburg-glücksburg']
dynastia grimaldi | ['z grimaldich']
dynastia stuartów | ['ze stuartów']
dynastia wettinów | ['wettynów']
dziurawiec zwyczajny | ['mandragora lekarska']
dzwon zygmunta jest starszy | ['dzwon zygmunta']
dzwonki rowerowe | ['janczary']
długi | ['długim nosem']
edward miszczak | ['stefan bratkowski']
edyta bartosiewicz | ['sława przybylska']
edyta górniak | ['karin stanek']
ekskomunikacja | ['eksmisja']
eksport to wywóz za granicę towarów | ['wywóz za granicę']
elektrokardiografia rejestruje prądy w mięśniu sercowym | ['prądy w mięśniu sercowym']
elipsa ma dwa ogniska | ['dwie', '2']
elipsa ma dwa osi symetrii | ['dwie', '2']
elżbieta i tudor nie miała ślubnych dzieci | ['żadnych', 'zero']
endoproteza jest umieszczana wewnątrz ciała | ['wewnątrz ciała']
epilog jest zakończeniem utworu | ['zakończeniem']
epoka kamienia była starsza | ['kamienia']
era mezozoiczna | ['mezozoik']
era paleozoiczna | ['paleozoik']
erich hoepner | ['hodon', 'margrabia hodon']
erich von däniken | ['wojciech żukrowski']
ernest hemingway | ['andrzej szczypiorski']
ernest hemingway | ['irwina shawa', 'shawa']
erozja wietrzna | ['deflacja']
erupcja wulkaniczna | ['lawa']
estry | ['mydła']
eudajmonizm | ['hedonizm']
europa | ['w azji', 'azja']
europejska wspólnota węgla i stali powstała wcześniej | ['europejska wspólnota węgla i stali']
eurysteus | ['augiasz']
ewangelia oznacza dobrą nowinę lub dobrą wiadomość | ['dobra nowina']
fale radiowe | ['radiowe']
falkon jest bronią białą | ['palną']
fauna | ['flory']
faust | ['mefistofeles', 'diabeł']
feudał | ['suweren']
fiołek | ['tatuś muminka']
fitofagi to zwierzęta roślinożerne | ['zwierzęta roślinożerne']
fizyka | ['matematyką']
flamandowie mają więcej mieszkańców | ['flamandowie']
flecistą | ['fletem']
fleksja czasownika | ['koniugacja']
florencja | ['w krakowie']
fobia pyrofobiczna | ['arsonfobia']
francja | ['hiszpanii i francji', 'francji i hiszpanii']
francuski | ['francuskojęzycznego']
frank szwajcarski i euro | ['szwajcarii']
fryderyk chopin | ['giacomo puccini', 'puccini']
fryderyk wilhelm iii | ['zygmunta i starego']
fusion | ['jazz-rock']
gdańsk | ['kaliningrad']
gdańsk | ['w 1959']
generał broni | ['marszałek polski']
generał józef haller | ['józef haller']
generał józef haller | ['tadeusz kościuszko']
generał michaił kutuzow | ['michaił kutuzow']
geologia strukturalna | ['tektonika']
georg ohm był niemcem | ['niemieckiej', 'był niemcem']
george stephenson | ['richard trevithick']
gerlachovský štít | ['gerlach']
gerwazy był klucznikiem horeszków | ['horeszków']
giacomo puccini | ['niccolò paganini']
gmina | ['gromada']
godzilla | ['king kong']
gospodyni | ['gaździna']
gołębie pocztowe | ['sowy']
grafit | ['diament']
gregor wielki | ['grzegorz i']
gruziński | ['był gruzinem', 'gruzin']
gruzja | ['ormiańskiej', 'ormianin']
gród biskupin | ['biskupin']
guillotine | ['gilotyna']
gurkha | ['szerpowie']
gwinei | ['z francji']
głagolicę stworzył cyryl i metody | ['św. cyryl', 'cyryl i metody']
głowa i twarz | ['twarz', 'głowę']
głównym motywem w dramacie aleksandra fredry „zemsta” jest zemsta cześnika raptusiewicza na rejentzie milczku | ['o mur graniczny', 'o mur']
gżegżółka to zwyczajowa nazwa dla ptaka zwanego sikorką zielonką | ['kukułki']
hadley wynalazł równoleżnik | ['sekstant']
