prompt,completion
Kanotier to kapelusz czy frak?,kapelusz
Entente cordiale to przymierze zawarte w 1904 roku między Francją a którym państwem?,Wielką Brytanią
Jaką część ciała zgubił pewnego dnia Kłapouchy?,ogon
"Jak nazywa się postulat mówiący, że w atomie nie ma dwóch elektronów które by miały identyczne wszystkie cztery liczby kwantowe?",zakaz Pauliego
Według przysłowia – odejść niczego nie załatwiwszy to odejść z...?,kwitkiem
"Czy według polskiego prawa może uzyskać status bezrobotnej osoba, która ukończyła 70 lat?",nie
Jakiej narodowości był Celsjusz?,szwedzkiej
"Jak nazywały się hiszpańskie oddziały ochotnicze, które w II wojnie światowej wzięły udział po stronie nazistowskich Niemiec przeciwko ZSRR?",Błękitna Dywizja
Na jakiej ulicy mieszkali Elmo i Ciasteczkowy Potwór?,na ulicy Sezamkowej
"Jak nazywa się tajemnicza istota nieznanego pochodzenia, człowiek śniegu?",Yeti
"Jak nazywa się aktorka, która dwukrotnie wcieliła się w postać Lary Croft?",Angelina Jolie
W którym państwie odbyły się Mistrzostwa Świata w Piłce Nożnej w 2014 roku?,w Brazylii
Królem którego państwa został w 2013 Wilhelm Aleksander?,Niderlandów
Które ciało niebieskie podczas zaćmienie Księżyca rzuca cień na naszego satelitę?,Ziemia
Czy Uniwersytet Oksfordzki mieści się w Londynie?,nie
Które miasto w XIX wieku było siedzibą władz brytyjskich w Indiach?,Kalkuta
Nad którym morzem leży Algieria?,nad Morzem Śródziemnym
W którym roku powstała pieśń „Czerwone maki na Monte Cassino”?,w 1944
Wojska którego państwa poniosły klęskę podczas dwóch bitew nad Marną podczas I wojny światowej?,Niemiec
Ile km mierzy promień Ziemi na równiku?,6378 km
W którym wieku powstało w Londynie Muzeum Królowej Wiktorii i Księcia Alberta?,w XIX
Czy premier uczestniczy w posiedzeniu Rady Gabinetowej?,tak
Na autoportrecie z Saskią Rembrandt przedstawił siebie z kobietą siedzącą na kolanach. Kim była ta kobieta dla Rembrandta?,żoną
